04:bd:88:76:f4:c2 -87 w | -87 -87 -87
04:bd:88:76:f6:e2 -75 w | -75 -75 -75
04:bd:88:76:f9:e0 -43 w | -43 -43 -43
04:bd:88:76:f9:e2 -44 w | -44 -44 -44
04:bd:88:76:f9:e1 -43 w | -43 -43 -43
04:bd:88:76:f4:32 -85 w | -85 -85 -85
04:bd:88:76:f4:31 -85 w | -85 -85 -85
04:bd:88:76:f4:30 -84 w | -84 -84 -84
04:bd:88:76:f5:82 -66 w | -66 -66 -66
04:bd:88:76:f5:81 -73 w | -73 -73 -73
04:bd:88:76:f5:80 -73 w | -73 -73 -73
04:bd:88:76:f7:20 -85 w | -85 -85 -85
04:bd:88:76:f7:21 -84 w | -84 -84 -84
04:bd:88:76:f7:22 -83 w | -83 -83 -83
04:bd:88:76:f9:f1 -44 w | -44 -44 -44
04:bd:88:76:f9:f0 -44 w | -44 -44 -44
04:bd:88:76:f9:f2 -44 w | -44 -44 -44
04:bd:88:76:f4:22 -69 w | -69 -69 -69
04:bd:88:76:f4:21 -72 w | -72 -72 -72
98:e7:f4:45:9b:4a -85 w | -85 -85 -85
04:bd:88:76:f4:20 -72 w | -72 -72 -72
18:64:72:29:09:c0 -87 w | -87 -87 -87
18:64:72:29:09:c2 -85 w | -85 -85 -85
18:64:72:29:09:c1 -84 w | -84 -84 -84

4.00 2.00 25 2020-11-19-01:12:53
70:8b:cd:5e:4f:f0 -82 w | -82 -82
04:bd:88:76:f4:c2 -87 w | -87 -87
04:bd:88:76:f6:e2 -75 w | -75 -75
04:bd:88:76:f9:e0 -43 w | -43 -43
04:bd:88:76:f9:e2 -44 w | -44 -44
04:bd:88:76:f9:e1 -43 w | -43 -43
04:bd:88:76:f4:32 -85 w | -85 -85
04:bd:88:76:f4:31 -85 w | -85 -85
04:bd:88:76:f4:30 -84 w | -84 -84
04:bd:88:76:f5:82 -66 w | -66 -66
04:bd:88:76:f5:81 -73 w | -73 -73
04:bd:88:76:f5:80 -73 w | -73 -73
04:bd:88:76:f7:20 -85 w | -85 -85
04:bd:88:76:f7:21 -84 w | -84 -84
04:bd:88:76:f7:22 -83 w | -83 -83
